苏州乐跑外卖配送有限公司,今天,1,0,送餐员/外卖骑手,7000-13000元/月,站点急招八小时送餐员供车,包住 包吃 年底双薪 周末双休 交通补助 加班补助 饭补 话补 房补 五险一金 冲单奖 恶劣天气补贴 全勤奖,招11人 学历不限 经验不限,西安 - 雁塔 - 吉祥诚信商业街 西安雁塔含光路南段西安石油大学雁塔校区东侧约100米名仕花园 查看地图,【面试通过，当天办理入职，当天上班，提供住宿，公司可配车】站点会给骑手送餐员下载骑手专用APP导航。根据导航送餐。职位要求：1、年龄18-45岁左右，品行端正，无不良嗜好，无犯罪案底.2、具备快速的学习能力，会骑电瓶车，灵活的使用智能手机，熟悉使用手机地图，导航。.3、有良好的服务意识、和服务精神。4、吃苦耐劳，有强烈的目标感；工作职责5、所属区域内，安全，快速，友善的将餐点送至地点；6、外卖员 送餐员 配送员，优先录用（19-45岁优先）工作时间：1、高峰时间在线：早9:00-14：00晚17:00-21:002、每天需要在岗8个小时，其余时间自行安排3. 上午7:00—9:00早餐（自愿）下午14:00—17:00午休（自愿）夜宵21:00—2:00（自愿）5.外卖送餐员月工资7000-14000元计件提成单价6-8一单，每天平均50单一天，路线熟悉正常每天50-70单多劳多得，雨季.假期容易爆单.单量增加.只要你付出肯定就会有收获。6、公司提供住宿，生活用品需要自带。7、公司统一为员工购买保险。8、晋升机制：骑手一组长一储备站长一站长一区域经理一城市经理9、住宿环境：2-3人一间，空调，洗衣机，淋浴间.....等福利津贴：全勤奖+服务奖+车补+餐补+话补+高温补贴+高峰补贴+冬季温馨提示：本信息公司直招，有车可自带车入职，没车公司可配车辆！温馨提示：凡不在站点面试【招募中心、公司面试、总部面试】均为中介，注意防范!19-45周岁优先咨询了解
北京三快到家科技有限公司,今天,21,0,送餐员/外卖骑手,7600-10000元/月,碑林区-招聘数名送餐员,话补 加班补助 远距离补助 大额补助 重量补贴,招9人 学历不限 经验不限，可接收应届生,西安 西安碑林区文艺南路税务局家属院 查看地图,首先为您承诺美团公司直招外卖骑手，不需要任何额外费用。超时不扣钱！西安全市覆盖，100多个区域站点就近分配，有需求可提供住宿、车辆。【任职要求】年龄18-50周岁，会骑车会看导航，无案底无逾期即可。【工作时间】早晚高峰 10：00-14：00 17：00-21：00（加班采取个人自愿）【工作内容】1、在APP上接收订单，从商家取货送至顾客地点。2、前期师傅带着培训，系统自动派单，配送范围在3公里。【工资待遇】底薪2800-3500之间，提成6-8元/单 ，日均40-100单。平均薪资6000以上！另外有距离补贴+时段补贴+大额单补贴+重量补贴+特色天气补贴+企客难度补贴+其他补贴；还有全勤奖200元+冲单奖金+工龄奖金200-400元+月度贡献奖150元+骑手星级补贴60-550元等，传统节日发放礼品，员工生日福利。【晋升空间】：骑手-组长-站长-区域经理-城市经理，欢迎前来挑战。雁塔区（小寨，电视台，大雁塔，曲江池，创意谷，等嘉坡，金淲沱）碑林区（南稍门，李家村，钟楼，草场坡，兴善寺，柏树林）莲湖区（红庙坡，北关，枣园，西关，南院门，西稍门，劳动路）高新区（长里村，丈八六路，科技科，甘家寨，太白南路）长安区（凤栖原，会展中心，韦曲，郭杜，府东，大学城）未央区（龙首原，百花村，大明宫，辛家庙，凤城）新城区（五路口，胡家庙，韩森寨，长乐坡）灞桥区（席王，纺织城，洪庆，新筑）沣东新区（三桥，后卫寨）
陕西捷巧配送服务有限公司,今天,13,0,送餐员/外卖骑手,7136-11236元/月,火车站急招配送员包车住,包住 加班补助 包吃 饭补 房补 年底双薪 交通补助 话补 0押金可预支 就近分配 配车管住,招10人 学历不限 经验不限,西安 - 雁塔 - 翠华路 西安雁塔undefined小寨地铁站C口 查看地图,工作要求：1，有无经验均可，入职会有老员工带你熟悉商家路线2，学历不是硬指标，会骑电动车，会使用手机导航即可3，年龄18---50岁之间，身体健康工作时间：早上10:00---14:00；晚上17:00---21:00每月。月休4天。每月20号发放工资、上够十五天可预支工资，多劳多得，上不封顶薪资待遇：1，底薪2400-3500+单量提成+奖励+补助（系统派单，无需抢单）5-15元/单，高温雨雪天气每单补助1--5元，上不封顶，多劳多得2，公司提供住宿，空调，洗衣机，热水器等齐全（面试通过后当天即可安排）3，有车可自备，无车公司提供车辆，无费用无押金，衣服，头盔，保温箱公司发放4，表现优秀者，公司提供各种内部晋升和公平竟聘机会，为员工提供良好的职业发展规划；晋升路径：骑手--组长--副站长--站长--区域经理福利补贴：全勤奖+服务奖+车补+冲单奖+单量补贴+年终奖；免费购买商业保险本岗位长期招聘，有兴趣可投简历，也可以直接拨打招聘热线，欢迎你随时加入！！！
北京三快到家科技有限公司,今天,45,0,送餐员/外卖骑手,6000-10000元/月,急招骑手配车包住预支薪资,包住 交通补助 话补 加班补助,招10人 学历不限 经验不限,西安 - 未央 西安未央凤城一路芳林园小区 查看地图,工作内容：1，有无经验均可，入职会有老员工带你熟悉商家路线；2，学历不是你的硬指标，会骑电动车，会使用智能手机导航即可；3，年龄18---47岁之间，身体健康；工作时间：早上10:00---14:00；晚上17:00---21:00每月满勤26天，月休3---4天。薪资待遇：1，底薪+单量提成+奖励+补助（系统派单，无需抢单）6--12元/单，高温雨雪天气每单补助0.5--5元，月综合工资6K---8K，上不封顶，多劳多得。2，公司提供住宿，空调，洗衣机，热水器等齐全（面试通过后当天即可安排）；3，有车可自备，无车公司提供车辆，无费用无押金，衣服，头盔，保温箱公司免费发放。4，表现优秀者，公司提供各种内部晋升和公平竟聘机会，为员工提供良好的职业发展规划；晋升路径：骑手--组长--副站长--站长--区域经理；福利补贴：全勤奖+服务奖+车补+话补+冲单奖+单量补贴+年终奖；免费购买商业保险；本岗位长期招聘，有兴趣可投简历，也可以直接拨打招聘热线，欢迎你随时加入！！！年龄要求18---50岁之间，未满18或者是超过50岁请勿投简历哦
运城市新邦物流有限公司（新邦物流（美团合作商））,今天,799,14,送餐员/外卖骑手,6500-10000元/月,太白立交招骑手两千奖励,月结工资 不需要 美团 熟练驾驶电动 熟练使用导航 健康证 加班补助 交通补助 包住,招20人 学历不限 经验不限,西安 - 雁塔 西安雁塔糜家桥小区53号楼 查看地图,工作内容：【招聘岗位】：外卖送餐员、骑手【岗位职责】：为客户提供安全、及时、准确、优质的送餐服务，服务半径为站点周边1-3公里。【薪资待遇】：正常干6000---8000元/月努力干8000---10000元/月拼命干12000元/月以上（不封顶）【年龄要求】身份证年龄满足18-45周岁即可【工作时间】早上10点-下午2点、下午5点-晚上9点。（注：可自由加班）【工作地点】根据个人意愿和住址就近分配，可自由选择地区【其他福利】车辆补贴恶劣天气补贴早餐单补助夜宵单补助住宿补贴话费补贴冲单奖等等！【招聘岗位】：外卖送餐员、骑手【岗位职责】：为客户提供安全、及时、准确、优质的送餐服务，服务半径为站点周边1-3公里。
陕西荣达时代餐饮管理有限公司,今天,46,1,送餐员/外卖骑手,6666-12666元/月,能吃苦耐劳，工资翻一翻,月结工资 美团 公司提供车 健康证 包住 加班补助 包吃 年底双薪 交通补助 饭补 话补 房补 0押金可预支 提供车和住宿 新人奖励2000,招15人 学历不限 经验不限，可接收应届生,西安 - 莲湖 - 北关 西安莲湖西安市莲湖区北关 查看地图,工作内容：【任职资格】1.年龄18-50岁，男女不限，学历不限。2.没有犯罪记录。3.会骑电动车、会用导航。【招聘职位】诚聘外卖送餐员，面试通过次日可上岗。【工作亮点】系统自动派单，多劳多得，正常跑7652+，白天加班跑10000+，夜宵拼命跑12500+【工作地点】全西安就近安排站点【工作时间】10：00-14：00 17：00-21：00，其他时间自由安排，每月休4天，可调休、多劳多得、时间自由分配。【工资待遇】：底薪2700-3500，平均每天30—80单，每单5-15元，单量提成+福利津贴（远距离补贴、夜班补贴、高温补贴、暖冬补贴等）+新人奖励。【福利待遇】：公司提供车，提供住宿，入职就办理保险。【岗位职责】：负责以站点为中心3公里以内订单配送，入职有老骑手教。【升职空间】骑手——组长——副站长——站长——城市经理给自己一个尝试的机会，展现出一个不一样的你！大专及以上学历也可以直接应聘储备干部！面试合格当天办理入职，直接电话联系优先安排面试！想了解更多可以打电话咨询！！！
陕西安极达咨询管理有限公司,今天,204,5,送餐员/外卖骑手,8000-10000元/月,招聘骑手，月入过万,日结工资 周结工资 月结工资 随时提现到账 不需要 熟练驾驶电动 包吃 交通补助 加班补助 饭补 话补 房补 包住 意外险,招20人 学历不限 经验不限,西安 - 灞桥 - 纺织城 西安灞桥华夏世纪广场C座2509 查看地图,直招全职骑手️负责以站点为中心3公里以内的外卖配送，不会有老骑手教，分享单王跑单技巧。️入职要求:18-50周岁/没有案底/，会骑电瓶车/手机导航；️接单时间是午饭和晚饭时间，其余时间自由活动.工作时间: 10:00-14:00，17:00-21:00️提成5-10，各种补贴奖励1000--2000，新人奖工资额外500--3000元每天系统派单，人均30--80单新人入职好好做8000--10000以上，后期熟悉月入过万上不封顶，每月20号发工资，可预支️0月入职，提供吃住、装备、电动车。西安市就近安排
杭州闪电峰网络科技有限公司,今天,7,0,送餐员/外卖骑手,8000-11800元/月,外卖员可就近安排+车住,五险一金 包吃 包住 加班补助 饭补 话补 交通补助 恶劣天气补助 距离补贴 夜宵补贴,招12人 学历不限 经验不限,西安 - 雁塔 - 大雁塔 西安雁塔希望大厦6栋19号 查看地图,直聘外卖员，送餐员，骑手，若干名，本公司为直招，不收取任何费用。当天就可以办理入职，入职需带身份证。当天安排住宿。薪资待遇：1.每单提成5--8元，多劳多得，一天300-500元.2. 每月每人单量在900-1800单左右，综合工资8000-11800上不封顶，工资每个月准时工资打卡。3.公司提供员工保险，为您的出行提供安全保障。4.骑士可享受高温补贴、高峰补贴、雨天补贴，恶劣天气补贴、好评奖励，每单补贴3-5元。5.公司提供住宿，公司提供电动车，不需要押金 。工作时间：1.上午10：00-14：00 下午17：00-21：00 （可以适当调休 ，海量订单，多劳多得。）招聘要求：1.年龄18-45周岁，男女不限，学历不限。2.有无经验均可，会骑电动车，会使用智能手机，会使用手机导航。3.能吃苦耐劳、有强烈的赚钱欲望。4.有快递，配送相关经验者优先录用。工作内容：1.通过APP接收公司派单；2.按照要求操作到商家取餐，送到客户位置；3.负责区域内的外卖订单的及时送达，配送范围，配送范围直线距离3公里左右广阔的职业发展空间，优秀员工享受公司储备干部培养优先权，骑手—队长—调度—站长—城市经理 欢迎有想法的人士和我们一起拼，有意者电话咨询。
淮安航道网络科技有限公司（淮安航道（美团合作商））,今天,147,1,送餐员/外卖骑手,5000-9000元/月,诚聘送餐员可提供车住吃,骑电动车 手机导航 使用智能手机 接单 会地图导航 提供车 可提供住宿,招20人 学历不限 经验不限,西安 - 雁塔 - 明德门 西安雁塔天坛西路与长安南路交叉路口向西约200米教院新苑 查看地图,因单量急剧上升，站点急招送餐员！！！时间自由，收入稳定，经验不限。无住址公司提供住宿。(面试当天可以直接安排报道入职，隔天开始工作)任职资格：1.18-45周岁，身体健康，无不良嗜好，无犯罪前科。2.会骑电动车，会用导航，微信，工作经验不限，学历不限，具有团队精神，能吃苦耐劳，赚钱欲望强，健康证（没有的可先办理入职，在办证）3. 欢迎曾经任职过的优秀员工重返公司;退伍军人优先录用，有同行经验者优先录用。4.公司统一提供员工宿舍，可自备车，无车可用公司担保车，为员工办理保险。跑一单有一单的钱，，一单大概是5~6元左右，多劳多得。系统每天40单左右，（就看你能不能跑，初期建议先熟练跑单操作与熟悉地形路线，建议在面试培训中请认真学习）奖金+补助；高温补贴、冲单量补贴、大额订单补贴、恶劣天气补贴，满勤奖励，优秀员工奖励，夜宵订单补贴，各种过节福利，不定时举办公司会餐，这就是你第二个家；职位描述：站点旁边的商圈（商圈指餐饮娱乐成熟地带）内，系统派单给骑手，骑手根据系统内的导航路线去商家拿餐送到客户手里，很简单易操作，公司统一面试培训，公司直招不收取任何费用，全市可就近安排站点工作，刚入职员工有老骑手带领熟悉路线（一周后就是老员工）.我们外卖是现在很多人的选择，因为他区别于其他行业，做销售你得有人脉，有关系，才可以赚钱，在厂里你得加班，熬时间，熬资历才会有不错的工资，但是在咱们上班时间很自由，配送员工资哪怕是*个月，只要别人在送单，你也在送，那你得工资正常就会达到7000左右，甚至更高。欢迎加入外卖员配送员团队，我们一直在招募骑手送餐员，所以欢迎兄弟们加入。分配范围：本职位属于站点招聘，全程不收取任何中介费用，注意防骗。站点统一面试培训，工作简单易操作，刚入职员工有老骑手带领熟悉路线（一周后就是老员工）。晋升空间：送餐员—组长—站长--区域督导--城市经理 、欢迎您的加入——这是一个发展广阔的平台！
商丘小袋鼠餐饮配送有限公司,今天,8,0,送餐员/外卖骑手,8430-11390元/月,送餐员有车有住+高薪,月结工资 健康证 交通补助 话补 房补 加班补助 包住 全勤奖 0元入职 高温补贴,招12人 学历不限 经验不限，可接收应届生,西安 - 经开区 - 草滩 西安经开区西安北站北广场东北侧西安市文景山公园 查看地图,有意向可投简历！看到会及时回复！！！1.招聘岗位:配送员12名2.招聘条件:18-45周岁，会骑车，会看导航，无案底，身体健康!3.薪资福利:月薪8000-12000，每月20号准时发放，每日35-80单(系统自动分分配，无需抢单，底薪+单量提成 +福利平均工资8000+元。)4.上班时间:9:30-14:0017:00-21:00(21:00后每单再加1-3元)5.工作范围:半公里至3公里以内(超出3公里每单会有1-3元不等的补贴)小区，学校医院商铺等。福利补贴:天气补贴距离补贴高温补贴冲单奖励，奖励:服务之星奖优秀员工奖单王奖全勤奖公司聚餐!6.提供住宿:(3至5人间)+提供电瓶车+提供装备头盔餐箱工作服，免费体检+入职保险。7.晋升渠道:送餐骑手-骑手组长-副站长-站长-经理。有意向可投简历！看到会及时回复！！！
