陕西荣达时代餐饮管理有限公司,今天,65,1,送餐员/外卖骑手,6666-12666元/月,能吃苦耐劳，工资翻一翻,月结工资 美团 公司提供车 健康证 包住 加班补助 包吃 年底双薪 交通补助 饭补 话补 房补 0押金可预支 提供车和住宿 新人奖励2000,招15人 学历不限 经验不限，可接收应届生,西安 - 莲湖 - 北关 西安莲湖西安市莲湖区北关 查看地图,工作内容：【任职资格】1.年龄18-50岁，男女不限，学历不限。2.没有犯罪记录。3.会骑电动车、会用导航。【招聘职位】诚聘外卖送餐员，面试通过次日可上岗。【工作亮点】系统自动派单，多劳多得，正常跑7652+，白天加班跑10000+，夜宵拼命跑12500+【工作地点】全西安就近安排站点【工作时间】10：00-14：00 17：00-21：00，其他时间自由安排，每月休4天，可调休、多劳多得、时间自由分配。【工资待遇】：底薪2700-3500，平均每天30—80单，每单5-15元，单量提成+福利津贴（远距离补贴、夜班补贴、高温补贴、暖冬补贴等）+新人奖励。【福利待遇】：公司提供车，提供住宿，入职就办理保险。【岗位职责】：负责以站点为中心3公里以内订单配送，入职有老骑手教。【升职空间】骑手——组长——副站长——站长——城市经理给自己一个尝试的机会，展现出一个不一样的你！大专及以上学历也可以直接应聘储备干部！面试合格当天办理入职，直接电话联系优先安排面试！想了解更多可以打电话咨询！！！
兰州三易网络科技开发有限公司（兰州三易（美团合作商））,今天,616,11,送餐员/外卖骑手,5500-9999元/月,高新雁塔急招送餐员,包住 全勤奖 新人冲单奖 高温奖,招30人 学历不限 经验不限，可接收应届生,西安 - 灞桥 - 红旗 西安灞桥十里铺街道咸宁东路363号信苑小区 查看地图,不收取任何手续费用、押金等，工资按时发放不会拖欠！工作内容：【招聘条件】1、18周岁-50周岁，品行端正，2、有无经验均可，要求会骑电动车，会使用智能手机，配送范围三公里，公司配有精确导航，不怕找不到路。3、薪资待遇，每天30到70单+6-8元/单+恶劣天气补助+冬季补助=月薪 6000-13000左右.（多劳多得，接单越多提成越高，五星好评，另有平台大额单，远距离单补助)公司派单，单量充足…（配送范围3公里之内，新人入职有老员工带。只要愿意干、只要肯吃苦、肯定让你挣到钱）正常干 5000元左右稍微努力 6000元左右使劲干 8000以上不封顶【任职资格】1、有无经验均可，只要你会骑电动车，会用智能手机2、学历不是你的硬指标3、有良好的服务意识、综合素质4、能吃苦耐劳、有强烈的企图心工作时间：9:00-14:00 17:00-21:00（其他时间自由休息，或自由加班，加班另有加班补助）【工作内容】根据订单地址把外卖准时完好的送达客户手中，工作轻松、上手快，所有入职新员工公司会派专人进行培训！【其他】吃饭一骑手在站点合作商家吃饭有半价优惠或打5-7折，花的少，吃得饱住宿一一站点为骑手提供宿舍，当天入住，基础设施齐全车辆一骑手可自带车辆，或公司提供的车辆，同时有车补工作地址:根据骑手个人意愿就近择优安排面试通过立即安排住宿上岗，欢迎有挣钱欲望的小伙伴加入。温馨提示：公司提供车辆、住宿。【面试通过当天可办理入职，第二天上班】
陕西品芸尚餐饮管理有限公司,今天,1641,19,送餐员/外卖骑手,7290-12120元/月,提供车住宿高薪招聘配送员,骑电动车 手机导航 包吃 包住 加班补助 饭补 0押金可预支工资 提供车+住宿 就近分配补贴奖励,招25人 学历不限 经验不限，可接收应届生,西安 - 新城 - 万寿路 西安新城地铁1号线长乐坡 查看地图,公司承诺】 公司承诺入职不收取任何费，工资每月20日发放，面试当天可以办理入职，住宿。一、 工作内容：骑手通过配送软件手机接单，品类包括附近美食、水果蔬菜、超市、鲜花、蛋糕、早午晚餐、下午茶、宵夜、饮料、甜点等，根拥订单信息到商家拿商品送至有户手中。二、 工作时间：上午10:00-14:00，下午17:00-21:00，工作8小时三、岗位基本要求 年龄18-50岁，身体健康四、薪资待遇︰1、工资按单提成，一单5--152、每天单量在40-7单，爆单较高100单月平均薪资7290-12120，多劳多得。五、福利补贴︰1、管住，配车。配的电动车可以保证24小时续航更换，承诺无需任何押金，更没有分期买车，大家避免上当受骗；2、全勤奖+服务奖+新人奖励+车补+天气补贴+等级补贴+提供住宿（设施齐全).3、入职3个月以上且有一定的管理经验可申请储备干部、站长或城市经理等管理岗位。六、晋升路径;骑手—师傅骑手—配送站长—区域经理。
北京三快到家科技有限公司,今天,33,0,送餐员/外卖骑手,6000-10000元/月,小寨站点直招送餐员,交通补助 加班补助,招20人 学历不限 经验不限,西安 - 雁塔 西安雁塔西安市长安南路东八里锦巷 查看地图,美团专送骑手招聘！无三方费用，派单制，西安超多站点覆盖，就近分配，有需求可提供住宿。任职要求：1.年龄18-52周岁，性别不限；2.会骑电动车，会使用只能手机导航；3.遵纪守法，无不良记录；薪资待遇：日均40-80单，200-600元/天，另外有距离补贴、时间补贴、天气补贴、新人补贴、大额单补贴、各种补贴；还有高额底薪、新人奖金、冲单奖金、工龄奖金等等；综合薪资8000-13000！工作区域西安全市覆盖，100多个区域站点就近分配；新城区（五路口，胡家庙，韩森寨，长乐坡）碑林区（南稍门，李家村，钟楼，草场坡，兴善寺）雁塔区（小寨，电视台，太白南路，大雁塔，凤栖原，韦曲）沣东新区（三桥，后卫寨）未央区（百花村，凤城六路，谭家街，龙首原）莲湖区（红庙坡，枣园，西关）灞桥区（席王，纺织城）工作时间：8小时工作制，早班（6:00-20:00）、长白班（9:00-21:00）、夜班（23:00-2:00）可选择，其他时间可自由安排。工作内容：手机APP接取派到的订单-系统精准导航-商家取餐-餐品送达客户手中-APP点击完成订单。不熟悉路线还有老员工带跑哦！面试请携带身份证哦！
西安博耀星辉企业管理咨询有限公司,今天,47,1,送餐员/外卖骑手,9206-13054元/月,莲湖区站点急聘送餐员,话补 包住 交通补助 加班补助,招30人 学历不限 经验不限，可接收应届生,西安 - 莲湖 - 北大街 西安莲湖青年路141号万宇民宿酒店北大街钟鼓楼回民街店 查看地图,提供宿舍，提供车辆，工作时间自由招聘职位招送餐员，面试通过当天办理入职，次日即可上岗。工作亮点系统自动派单，根据入职时间，优先安排单量多的站点。多劳多得，午晚高峰正常跑7500+。工作地点全西安就近安排站点。工作时间10:00-14:0017:00-21:00，月休假4天，可调休，可请假、多劳多得、时间自由分配。工资待遇:底薪2800-3500，平均每天50单，每单6-8元，单量提成+福利津贴(距离补贴、夜班补贴、高温补贴及暖冬补贴等)+奖。福利待遇:公司提供车，提供住宿，入职办理保险。岗位职责:负责以站点为中心3公里以内的餐食订单配送不会有老骑手教。任职资格:1.年龄18-50岁，男女不限，学历不限。2.身体健康，没有犯罪记录。3.会骑电动车、熟练使用手机APP软件
许昌雷风哥网络科技有限公司（雷风哥（美团合作商））,今天,13,0,送餐员/外卖骑手,7000-9000元/月,高新诚聘送餐员9k+,月结工资 不需要 美团 熟练驾驶电动 熟悉本地路况 熟练使用导航 包住 加班补助 年底双薪 交通补助 周末双休,招100人 学历不限 经验不限,西安 - 长安 - 长安广场 西安长安子午大道169号智慧城 查看地图,吃饭高峰期跑单，其余时间自由安排12：00—14：00 17：00—21：00岗位职责：1、通过平台APP接单（系统统一派单），去固定商圈餐厅进行取餐2、确保在规定时间内，准确无误将餐品送到客户手里3、较强的时间观念及责任心，服从管理，积极配合站长的工作安排，吃苦耐劳，有一定的表达沟通能力、能应付处理突发事件任职要求：1、18-55周岁，性别不限，有无经验均可，要求身体健康，无犯罪历史2、会使用电瓶车，会用智能手机看导航薪酬福利：1、工龄奖3个月+200，6个月+400.2、公开透明的晋升路径：骑士—副站长—站长—区域经理—合伙人工作内容：配送餐饭，奶茶，蔬菜，水果，日常药品，在APP软件上进行派单配送，自动导航配送至顾客手中，系统派单，无需抢单。前期有老师傅带跑，熟练后，自由进行配送，工作较自由。配送范围只限3公里以内。进行无接触配送，送至小区门口和楼下均可。要求：18-50岁（未成年入不了）会骑车，会导航，会识汉字，无犯罪记录，能吃苦耐劳，打酱油的就算了。干过外卖的优先，熟悉道路的优先，心态乐观积极，有晋升追求的人优先。有意向的伙伴可投递一份简历，切记设置仅投递方可见，切记联系三方中介分期电动车或交费用押金租车等行为。也可发信息留下联系方式，我会尽快联系您！
兰州三易网络科技开发有限公司（兰州三易（美团合作商））,今天,662,6,送餐员/外卖骑手,6000-10000元/月,站点直招0押金奖2千,包住 全勤奖 新人奖 高温奖冲单奖,招30人 学历不限 经验不限，可接收应届生,西安 - 长安 - 凤栖原 西安长安长兴路122号喜居园小区 查看地图,不收取任何手续费用、押金等，工资按时发放不会拖欠！工作内容：【招聘条件】1、18周岁-50周岁，品行端正，2、有无经验均可，要求会骑电动车，会使用智能手机，配送范围三公里，公司配有精确导航，不怕找不到路。3、薪资待遇，每天30到70单+6-8元/单+恶劣天气补助+冬季补助=月薪 6000-13000左右.（多劳多得，接单越多提成越高，五星好评，另有平台大额单，远距离单补助)公司派单，单量充足…（配送范围3公里之内，新人入职有老员工带。只要愿意干、只要肯吃苦、肯定让你挣到钱）正常干 5000元左右稍微努力 6000元左右使劲干 8000以上不封顶【任职资格】1、有无经验均可，只要你会骑电动车，会用智能手机2、学历不是你的硬指标3、有良好的服务意识、综合素质4、能吃苦耐劳、有强烈的企图心工作时间：9:00-14:00 17:00-21:00（其他时间自由休息，或自由加班，加班另有加班补助）【工作内容】根据订单地址把外卖准时完好的送达客户手中，工作轻松、上手快，所有入职新员工公司会派专人进行培训！【其他】吃饭一骑手在站点合作商家吃饭有半价优惠或打5-7折，花的少，吃得饱住宿一一站点为骑手提供宿舍，当天入住，基础设施齐全车辆一骑手可自带车辆，或公司提供的车辆，同时有车补工作地址:根据骑手个人意愿就近择优安排面试通过立即安排住宿上岗，欢迎有挣钱欲望的小伙伴加入。温馨提示：公司提供车辆、住宿。【面试通过当天可办理入职，第二天上班】
北京亨昆科技有限公司,今天,287,4,送餐员/外卖骑手,6000-9999元/月,急招外卖暑假工,月结工资 不需要 美团 熟练驾驶电动 公司提供车 健康证 加班补助 包住,招50人 学历不限 经验不限，可接收应届生,西安 - 雁塔 - 西影路 西安雁塔雁塔区西影路19号 查看地图,新年快乐，兔年大吉！本招聘是在站点面试，公司直招！面试合格，当天办理入职手续！当天可提供住宿！岗位职责：1、根据手机软件提供的地址，准时并快速将餐品送达客户手中。2、配送区域是方圆3公里。工作自由、单量多，提成高。入职新员工有人带、有人教。。外卖行业是凭个人能力吃饭的行业，只要你自己认真努力，工资丰厚！任职资格：1、年龄18~45周岁（年龄未满18周岁或者45周岁生日已过的不能办理入职手续）。2、熟练使用智能手机，会使用手机地图。3、脸上脖子上无大面积纹身，无犯罪史，无。福利待遇：每月工资=单量提成+全勤奖+年终奖+恶劣天气补助+各种补贴。轻松干：月薪4000元以上正常干：月薪6000元以上努力干：月薪8000元以上公司为每一位离开家的伙伴提供温馨的宿舍， 提供外卖箱，工作服，头盔。培训！是免费的。晋升！不是靠关系的。入职后，公司会为每一位骑手买两份保险，工伤险和意外险，对每一位骑手都有双重的安全保障。公司会不定期举行聚餐狂欢，这就是你的第二个家！工作时间：早上9点半-14点，下午17点-21点。（14点到17点期间可以休息，也可接单，可自己选择。两个饭点高峰期必须在职，其余时间自愿跑单或者休息，工作时间自由。）每月休假2天。晋升路径：骑手—组长—副站长—站长—城市负责人。本岗位属公司总站点直招，面试成功之后可全西安就近分配！如有意向，欢迎各位小伙伴打电话预约后前来面试，在这里你可以靠你勤劳的双腿、你的勤奋，来成就你的高薪梦，我们这个大家庭期待您的加入！不诚意者勿扰！打酱油者勿扰！
西咸新区新威沃网络科技有限公司（新威沃（美团合作商））,今天,64,1,送餐员/外卖骑手,7800-11800元/月,外卖送餐员1w+补贴,骑电动车 会地图导航 话补 包住 交通补助 加班补助 饭补 年底双薪 0押金离家近 8小时工作制 提供车和住宿,招18人 学历不限 经验不限，可接收应届生,西安 - 碑林 - 体育场 西安碑林西安碑林区体育场 查看地图,工作内容：【任职资格】1.年龄18-50岁，男女不限，学历不限。2.没有犯罪记录。3.会骑电动车、会用导航。【招聘职位】诚聘外卖送餐员，面试通过次日可上岗。【工作亮点】系统自动派单，多劳多得，正常跑7800+，白天加班跑10000+，夜宵拼命跑11800+【工作地点】全西安就近安排站点【工作时间】10：00-14：00 17：00-21：00，其他时间自由安排，每月休4天，可调休、多劳多得、时间自由分配。【工资待遇】：底薪2500-3400，平均每天60单，每单5-15元，单量提成+福利津贴（远距离补贴、夜班补贴、高温补贴等）+新人奖励。【福利待遇】：公司提供车，提供住宿，入职就办理保险。【岗位职责】：负责以站点为中心3公里以内订单配送，入职有老骑手教。【升职空间】骑手——组长——副站长——站长——城市经理给自己一个尝试的机会，展现出一个不一样的你！大专及以上学历也可以直接应聘储备干部！面试合格当天办理入职，直接电话联系优先安排面试！想了解更多可以打电话咨询！！！
北京亨昆科技有限公司,今天,150,1,送餐员/外卖骑手,6000-9000元/月,骑车送餐轻松赚钱,日结工资 不需要 美团 熟练驾驶电动 公司提供车 健康证 加班补助 包住,招50人 学历不限 经验不限,西安 - 碑林 - 南稍门 西安碑林南稍门城南草场坡甲字 查看地图,新年快乐，兔年大吉！本招聘是在站点面试，公司直招！面试合格，当天办理入职手续！当天可提供住宿！岗位职责：1、根据手机软件提供的地址，准时并快速将餐品送达客户手中。2、配送区域是方圆3公里。工作自由、单量多，提成高。入职新员工有人带、有人教。。外卖行业是凭个人能力吃饭的行业，只要你自己认真努力，工资丰厚！任职资格：1、年龄18~45周岁（年龄未满18周岁或者45周岁生日已过的不能办理入职手续）。2、熟练使用智能手机，会使用手机地图。3、脸上脖子上无大面积纹身，无犯罪史，无。福利待遇：每月工资=单量提成+全勤奖+年终奖+恶劣天气补助+各种补贴。轻松干：月薪4000元以上正常干：月薪6000元以上努力干：月薪8000元以上公司为每一位离开家的伙伴提供温馨的宿舍， 提供外卖箱，工作服，头盔。培训！是免费的。晋升！不是靠关系的。入职后，公司会为每一位骑手买两份保险，工伤险和意外险，对每一位骑手都有双重的安全保障。公司会不定期举行聚餐狂欢，这就是你的第二个家！工作时间：早上9点半-14点，下午17点-21点。（14点到17点期间可以休息，也可接单，可自己选择。两个饭点高峰期必须在职，其余时间自愿跑单或者休息，工作时间自由。）每月休假2天。晋升路径：骑手—组长—副站长—站长—城市负责人。本岗位属公司总站点直招，面试成功之后可全西安就近分配！如有意向，欢迎各位小伙伴打电话预约后前来面试，在这里你可以靠你勤劳的双腿、你的勤奋，来成就你的高薪梦，我们这个大家庭期待您的加入！不诚意者勿扰！打酱油者勿扰！
