西安博耀星辉企业管理咨询有限公司,今天,55,0,送餐员/外卖骑手,8420-14560元/月,只要不怕苦送餐开路虎,话补 包住 交通补助 加班补助 高温补贴 距离补贴 大额补贴,招34人 学历不限 经验不限，可接收应届生,西安 - 灞桥 - 席王 西安灞桥柳烟路浅水湾普华浅水湾3期 查看地图,不收取任何手续费用、押金等，工资按时发放不会拖欠！公司提供车辆、住宿。【面试通过当天可办理入职，第二天上班】【招聘条件】1、18周岁-50周岁，品行端正，2、有无经验均可，要求会骑电动车，会使用智能手机，配送范围三公里，公司配有精确导航，不怕找不到路。3、薪资待遇，每天30到70单+6-8元/单+恶略天气补助+冬季补助=月薪 6000-13000左右.（多劳多得，接单越多提成越高，五星好评，另有平台大额单，远距离单补助)公司会定期组织员工团建，过节过生日公司会安排对员工关怀送礼品，定期评选优秀员工，跑单王等多项现金奖励，表现突出者有机会晋升为公司管理层，保证公平透明公证的原则进行评选，只要你肯干肯努力加入我们不管学历都会给你展现自我的平台，体现自身价值，找到属于你的自信公司派单，单量充足…（配送范围3公里之内，新人入职有老员工带。只要愿意干、只要肯吃苦、肯定让你挣到钱）正常干 5000元左右稍微努力 6000元左右使劲干 8000以上不封顶【任职资格】1、有无经验均可，只要你会骑电动车，会用智能手机（我们只看你是否有意愿）2、学历不是你的硬指标（我们只看能力，只认付出）3、有良好的服务意识、综合素质（相信自己！）4、能吃苦耐劳、有强烈的企图心（目标需要靠自己的付出去实现）赶快来吧！我们一起干！努力就有机会，拼搏定能成功！工作时间：9:00-14:00 17:00-21:00（其他时间自由休息，或自由加班，加班另有加班补助）【工作内容】根据订单地址把外卖准时完好的送达客户手中，工作轻松、上手快，所有入职新员工公司会派专人进行培训！【其他】吃饭一骑手在站点合作商家吃饭有半价优惠或打5-7折，花的少，吃得饱住宿一一站点为骑手提供宿舍，当天入住，基础设施齐全车辆一骑手可自带车辆，或公司提供的车辆，同时有车补工作地址:根据骑手个人意愿就近择优安排面试通过立即安排住宿上岗，欢迎有挣钱欲望的小伙伴加入。
商丘小袋鼠餐饮配送有限公司,今天,6,0,送餐员/外卖骑手,8760-11580元/月,送餐员8k急招管住宿配车,五险一金 包住 交通补助 加班补助 话补 房补 饭补 大单奖 距离补助 全勤奖,招14人 学历不限 经验不限，可接收应届生,西安 - 未央 - 辛家庙 西安未央太和路99号外卖站点招聘中心 查看地图,凡不在站点面试招募中心、公司面试、总部面试均为中介，注意防范!19-45周岁优先咨询了解有意向请投简历，收到会时间与你联系!!!1、外卖送餐员，每天需要在岗8个小时，其余时间自行安排送餐员骑手高峰时间在线:早10:00-14:00晚17:00-21:00(月休4天)2.工资:底薪3400+单价6-8元单，下雨天每单补助1.5-2.1元，夜宵单每单补助1-3元，平均每单6-8块钱左右，单量越多单价越高福利:全勤奖每月300+服务奖+车补200-400+夏季高温补贴2000左右(冬天有暖冬奖励)+年终奖2000左右+恶劣天气60天+好评奖1单+夜宵奖1单，综合工资正常干7000--9000元月，努力干9000---11000元月，使劲干12000以上(上不封顶)3、晋升机制:骑手一组长一储备站长一站长一区域经理一城市经理4、外卖送餐员公司统一为员工购买保险。5、住宿环境:2-3人一间，空调，洗衣机，淋浴间....等职位要求:1、骑手年龄要求18-45岁左右，品行端正，无不良嗜好，无犯罪案底，2、具备快速的学习能力，会骑电瓶车，灵活的使用智能手机，熟悉使用手机地图，导航。3、送餐员要有良好的服务意识、和服务精神。4、外卖员要吃苦耐劳，有强烈的目标感工作职责5、所属区域内，安全，快速，友善的将餐点送至地点温馨提示:本信息官方站点直招，有车可自带车入职，没车公司配车辆!有意向请投简历，收到会时间与你联系!!!
兰州三易网络科技开发有限公司（兰州三易（美团合作商））,今天,294,5,送餐员/外卖骑手,6000-10000元/月,2500元奖励等你来拿,包住 加班补助 全勤奖 高温奖 新人冲单奖,招30人 学历不限 经验不限，可接收应届生,西安 - 灞桥 - 红旗 西安灞桥十里铺街道咸宁东路363号信苑小区 查看地图,不收取任何手续费用、押金等，工资按时发放不会拖欠！工作内容：【招聘条件】1、18周岁-50周岁，品行端正，2、有无经验均可，要求会骑电动车，会使用智能手机，配送范围三公里，公司配有精确导航，不怕找不到路。3、薪资待遇，每天30到70单+6-8元/单+恶劣天气补助+冬季补助=月薪 6000-13000左右.（多劳多得，接单越多提成越高，五星好评，另有平台大额单，远距离单补助)公司派单，单量充足…（配送范围3公里之内，新人入职有老员工带。只要愿意干、只要肯吃苦、肯定让你挣到钱）正常干 5000元左右稍微努力 6000元左右使劲干 8000以上不封顶【任职资格】1、有无经验均可，只要你会骑电动车，会用智能手机2、学历不是你的硬指标3、有良好的服务意识、综合素质4、能吃苦耐劳、有强烈的企图心工作时间：9:00-14:00 17:00-21:00（其他时间自由休息，或自由加班，加班另有加班补助）【工作内容】根据订单地址把外卖准时完好的送达客户手中，工作轻松、上手快，所有入职新员工公司会派专人进行培训！【其他】吃饭一骑手在站点合作商家吃饭有半价优惠或打5-7折，花的少，吃得饱住宿一一站点为骑手提供宿舍，当天入住，基础设施齐全车辆一骑手可自带车辆，或公司提供的车辆，同时有车补工作地址:根据骑手个人意愿就近择优安排面试通过立即安排住宿上岗，欢迎有挣钱欲望的小伙伴加入。温馨提示：公司提供车辆、住宿。【面试通过当天可办理入职，第二天上班】
苏州小黄帽外卖配送有限公司,今天,6,0,送餐员/外卖骑手,7600-12600元/月,急招外卖骑手有住有车,五险一金 包住 包吃 交通补助 加班补助 房补 冲单奖 0元入职 无押金,招8人 学历不限 经验不限，可接收应届生,西安 - 未央 - 明光南路 西安未央未央凤城一路76号 查看地图,有意者请投递简历，.。。。每月薪资：7600-12600元，公司直招，没有任何押金费用，当天安排入职，住宿环境好，热水器，空调，洗衣机，，，职位描述:站点直接面试，不收取任何费用！！正规面试，员工全部是站点直接面试的！！送餐行业我们工资较高待遇较好，为员工就近安排工作区域！！，平均单价比其他平台高0.5-1.5元，平均工资比其他平台高1000元左右！
江苏鲜时配供应链管理有限公司（鲜时配（美团合作商））,今天,53,3,送餐员/外卖骑手,6500-10000元/月,送餐供车住8小时月薪1w,交通补助 加班补助 话补 包住,招10人 学历不限 经验不限,西安 - 高新区 - 科技路西口 西安高新区高新六路32号五米魔方 查看地图,【招聘职位】招送餐员，面试通过次日即可上岗。【工作亮点】系统自动派单，根据入职时间，优先安排单量多的站点。多劳多得，午晚高峰正常跑7000+，白天加班跑9000+，夜宵拼命跑12000+【工作地点】全西安就近安排站点【工作时间】10：00-14：00 17：00-21：00，月休假4天，可调休，可请假、多劳多得、时间自由分配。【工资待遇】：底薪2500-3000，平均每天50单，每单6-8元，单量提成+福利津贴（距离补贴、夜班补贴、高温补贴及暖冬补贴等）+奖。【福利待遇】：公司提供车，提供住宿，入职办理保险。【岗位职责】：负责以站点为中心3公里以内的餐食订单配送，不会有老骑手教。【升职空间】骑手——队长——运营——站长——城市经理！给自己一个尝试的机会，展现出一个不一样的你！大专及以上学历也可以直接应聘储备干部！面试合格当天办理入职，直接电话联系优先安排面试！任职资格：1.年龄18-50岁，男女不限，学历不限。2.没有犯罪记录。3.会骑电动车、熟练使用手机APP软件。4.身体健康，能办理健康证（可入职后办理）【温馨提示1】：投递简历请记得设置简历的隐私保护， 防止中介公司下载个人信息打 扰电话！【温馨提示2】：总部直招，全程不收取任何费用，由于近很多中介公司冒充官方人事部，请注意提防甄别！
兰州三易网络科技开发有限公司（兰州三易（美团合作商））,今天,1044,17,送餐员/外卖骑手,7000-10000元/月,骑手包吃提供住宿月入过万,骑电动车 会地图导航 使用智能手机 包住 年底双薪 加班补助 全勤奖 新人奖 高温奖,招15人 学历不限 经验不限，可接收应届生,西安 - 高新区 - 陕西大会堂 西安高新区丈八六路与丈八西路延伸线里花水社区 查看地图,不收取任何手续费用、押金等，工资按时发放不会拖欠！工作内容：【招聘条件】1、18周岁-50周岁，品行端正，2、有无经验均可，要求会骑电动车，会使用智能手机，配送范围三公里，公司配有精确导航，不怕找不到路。3、薪资待遇，每天30到70单+6-8元/单+恶劣天气补助+冬季补助=月薪 6000-13000左右.（多劳多得，接单越多提成越高，五星好评，另有平台大额单，远距离单补助)公司派单，单量充足…（配送范围3公里之内，新人入职有老员工带。只要愿意干、只要肯吃苦、肯定让你挣到钱）正常干 5000元左右稍微努力 6000元左右使劲干 8000以上不封顶【任职资格】1、有无经验均可，只要你会骑电动车，会用智能手机2、学历不是你的硬指标3、有良好的服务意识、综合素质4、能吃苦耐劳、有强烈的企图心工作时间：9:00-14:00 17:00-21:00（其他时间自由休息，或自由加班，加班另有加班补助）【工作内容】根据订单地址把外卖准时完好的送达客户手中，工作轻松、上手快，所有入职新员工公司会派专人进行培训！【其他】吃饭一骑手在站点合作商家吃饭有半价优惠或打5-7折，花的少，吃得饱住宿一一站点为骑手提供宿舍，当天入住，基础设施齐全车辆一骑手可自带车辆，或公司提供的车辆，同时有车补工作地址:根据骑手个人意愿就近择优安排面试通过立即安排住宿上岗，欢迎有挣钱欲望的小伙伴加入。温馨提示：公司提供车辆、住宿。【面试通过当天可办理入职，第二天上班】
苏州快乐送外卖配送有限公司,今天,3,0,送餐员/外卖骑手,8955-13777元/月,直招0投资送餐员1w+车,包住 房补 话补 交通补助 饭补 加班补助 包吃 年底双薪 新人奖 提供车住 各种补贴,招16人 学历不限 经验不限，可接收应届生,西安 - 未央 - 二府庄 西安未央二府庄外卖配送4号 查看地图,本公司为直接招聘！工资准时发放，可投递简历！！薪资待遇：一、工资：4到6/单二、福利：新人奖500+全勤奖每月300+暖冬补贴4500左右，正常干7000---9000元/月，努力干9000---11000元/月，使劲干14000以上（不封顶）一、工作内容：骑手通过配送系统线上按单，品类包括附近美食、水果蔬菜、超市、鲜花、蛋糕、早午晚餐、等据订单信息到商家拿商品送至客户手中二、工作时间：上午10：00-14：00，下午17：00-21：00，其他时间可休息或接单，三、岗位要求：年龄18-45周岁，无犯罪记录，身体健康五、宿舍环境小区房，2-3人一间，设备齐全（空调，洗衣机，热水器）六·派单问题系统派单，公平公正，不用担心没有单！自动调度订单，接单后按照订单信息上门取餐送餐。快递员，操作工，普工，搬运工，配送员，服务员.优先录用（19-45岁优先）
苏州小袋鼠配送有限公司,今天,2,0,送餐员/外卖骑手,8300-15400元/月,直招骑手+每天可预支,加班补助 年底双薪 交通补助 饭补 话补 房补 冲单奖 老员工奖 新人奖励,招16人 学历不限 经验不限，可接收应届生,西安 - 未央 - 玄武东路 西安未央玄武东路外卖站点 查看地图,职位描述；此招聘为站点直招，站点面试，不收任何费用，面试通过后，当天办理入职。当天安排宿舍！任职资格；1、招聘要求：18—50周岁无案底 无犯罪记录 没有 即可2、会骑电瓶车会手机导航(自己有车子就自己带车子，如果没有站点可配车！工作时间：1，上午10:00-14:00， 下午17:00-21:00 ，每日工作八个小时左右，晚上21：00--23.00加班采取个人自愿【也可自由安排】薪资待遇：1，工资是按单提成，平均较低每单在5-8元左右，雨天每单补助1.5-3.6元元/单，底薪3400综合工资【6000-12000】2、福利补贴：全勤奖+服务奖+车补+话补+高温补贴+冬季补贴基本提成+绩效+满勤奖+优质服务奖+车补（额外老员工奖+站点冲单奖+恶劣天气贡献奖+父母孝顺金）底薪绩效+提成每单（6-8元不等）+优质服务奖（100-500元）+车补（200-400元)+骑手等级奖（根据各个站点实际情况）综合工资6000-12000！！上不封顶，多劳多得！3、学历不是问题(我们只看能力，只认付出)认真干：6000-8000元/月努力干：8000-10000元/月用心干:10000-12000元/月3、公司提供住宿，购买商业险。4、晋升机制：骑手一组长一储备站长一站长一区域经理一城市经理5、系统派单！只要你想赚钱，只要你能跑，不怕我们没有单！送餐范围2-3公里内，路不熟就老师傅带着熟悉商家和APP导航!温馨提示：本招聘信息站点直招，命运与机遇掌握在自己手里，招满为止。感兴趣的、想赚钱的，快快行动起来吧。
苏州快乐送外卖配送有限公司,今天,1,0,送餐员/外卖骑手,7990-12560元/月,0元入职+车住招骑手,交通补助 加班补助 年底双薪 饭补 包住 房补 距离补贴 大额单补贴 重量补贴,招9人 学历不限 经验不限，可接收应届生,西安 - 雁塔 - 青松路 西安雁塔雁塔区青松路33号西八里姑娘村外卖站点 查看地图,有意向请投递简历，收到会及时回复 。薪资待遇：1.工资是按单提成，平均最低每单在6元，综合工资每单在8元左右.月薪7990到12560元2.福利补贴：全勤奖+好评补贴+工龄奖+恶劣天气补贴+高温补贴。。。。。。基本提成+绩效+满勤奖+优质服务奖（额外老员工奖+站点冲单奖+恶劣天气贡献奖）底薪绩效+提成每单（5-8元不等）+优质服务奖（100-500元）（根据各个站点实际情况）综合工资7990-12560！！上不封顶，多劳多得。3.提供住宿（2-3人一间，有空调、洗衣机），购买万商业险。4.自己有车就自带车，如果没有的话公司可提供配车，可免费提供外卖箱头盔。）5.工作时间：早10点-14点 晚17点-21点，每日工作八小时左右夜宵单时间晚上21点--23点（加班采取个人自愿）6，公司系统派单！只要你不怕吃苦，只要你能跑！不怕我们没有单，送餐范围2-3公里内，路不熟有老师傅带着熟悉商家路线和APP导航!岗位基本要求：一、有无经验均可（我们只看你是否有意愿）二、学历不是你的硬指标（我们只看能力，只认付出）三、吃苦耐劳、有强烈的征服欲（目标需要靠自己的付出去实现）四、年龄18-45周岁，身体健康，会骑电动车会用导航晋升路径：骑士—副站长—站长—区经理—合伙人有意向请投递简历，收到会及时回复！！！
江苏鲜时配供应链管理有限公司（鲜时配（美团合作商））,今天,91,2,送餐员/外卖骑手,6000-9500元/月,0元入职 当天可上班,交通补助 加班补助 包住,招30人 学历不限 经验不限,西安 - 莲湖 - 丰庆公园 西安莲湖南二环高新二路财富中心正对面西市东桃园社区 查看地图,【招聘职位】招送餐员，面试通过次日即可上岗。【工作亮点】系统自动派单，根据入职时间，优先安排单量多的站点。多劳多得，午晚高峰正常跑7000+，白天加班跑9000+，夜宵拼命跑12000+【工作地点】全西安就近安排站点【工作时间】10：00-14：00 17：00-21：00，月休假4天，可调休，可请假、多劳多得、时间自由分配。【工资待遇】：底薪2800-3300，平均每天50单，每单6-8元，单量提成+福利津贴（距离补贴、夜班补贴、高温补贴及暖冬补贴等）+奖。【福利待遇】：公司提供车，提供住宿，入职办理保险。【岗位职责】：负责以站点为中心3公里以内的餐食订单配送，不会有老骑手教。【升职空间】骑手——队长——运营——站长——城市经理！给自己一个尝试的机会，展现出一个不一样的你！大专及以上学历也可以直接应聘储备干部！面试合格当天办理入职，直接电话联系优先安排面试！任职资格：1.年龄18-50岁，男女不限，学历不限。2.没有犯罪记录。3.会骑电动车、熟练使用手机APP软件。4.身体健康，能办理健康证（可入职后办理）【温馨提示1】：投递简历请记得设置简历的隐私保护， 防止中介公司下载个人信息打 扰电话！【温馨提示2】：总部直招，全程不收取任何费用，由于近很多中介公司冒充官方人事部，请注意提防甄别！
陕西忆嘉餐饮管理服务有限公司,今天,149,3,送餐员/外卖骑手,7400-12800元/月,高新区招配送员0押供车住,饭补 加班补助 包住 包吃 年底双薪 可预支工资 配车0费用0押金,招17人 学历不限 经验不限,西安 西安西安雁塔雁塔太白里小区 查看地图,【任职资格】1.年龄18-50岁，男女不限，学历不限。2.没有犯罪记录。3.会骑电动车、会用导航。【招聘职位】诚聘外卖送餐员，面试通过次日可上岗。【工作亮点】系统自动派单，多劳多得，正常跑7400+，白天加班跑12800【工作地点】全西安就近安排站点【工作时间】10：00-14：00 17：00-21：00，其他时间自由安排，每月休4天，可调休、多劳多得、时间自由分配。【工资待遇】：底薪2500--3400，平均每天40-60单，每单5-15元，单量提成+福利津贴（远距离补贴、夜班补贴、暖冬补贴等）+新人奖励。【福利待遇】：公司提供车，提供住宿，入职就办理保险。【岗位职责】：负责以站点为中心3公里以内订单配送，入职有老骑手教。面试合格当天办理入职，直接电话联系优先安排面试！想了解更多可以打电话咨询！！！
商丘小袋鼠餐饮配送有限公司,今天,10,0,送餐员/外卖骑手,7938-12737元/月,外卖送餐员月入8K+车住,不需要 公司提供车 加班补助 包住 包吃 饭补 入职0费用 就近分配 车补,招17人 学历不限 经验不限，可接收应届生,西安 - 未央 - 辛家庙 西安未央重所小区西重所小区附6号 查看地图,站点直接招聘，非中介，正规有保障。意向可投递简历！！！1.本公司直招，无任何费用，站点面试，工资每月准时发放，经济上有困难可提前预支工资，当天面试可安排住宿，宿舍2-3人间，空调，洗衣机热水器，无线网。2.入职要求;18-45周岁，身体健康，无学历，有无工作经验均可，会骑车，会使用导航。每天平均60单，月工资7000-11000元，公司免费提供车子，发放工服，头盔，餐箱。路经不熟悉会有老员工带领。有单就送。无单时间可自行安排。2.系统派单:人人平等，公平公正无需抢单。3.单量稳定，多劳多得，工资有保障，不封顶。4.早高峰时间9.30--14.00晚16.00--21.00每天上班8小时晋升机制:骑手-组长-储备站长-区域经理-城市经理。5.福利津贴;全勤奖+服务奖+车补+餐补+高峰补贴+，工资完全取决于自己，多劳多得，肯努力工资都不会低。温馨提示;本信息公司站点直招，入职全免费，一分钱不收。
西安全满成科技有限公司,今天,488,7,送餐员/外卖骑手,6000-9000元/月,高薪急招送餐员1w+车住,交通补助 加班补助 包住 工龄奖 大额补贴 距离补贴,招50人 学历不限 经验不限，可接收应届生,西安 - 碑林 - 文艺路 西安碑林草场坡甲字50号翡翠明珠 查看地图,新年快乐，兔年大吉！本招聘是在站点面试，公司直招！面试合格，当天办理入职手续！当天可提供住宿！岗位职责：1、根据手机软件提供的地址，准时并快速将餐品送达客户手中。2、配送区域是方圆3公里。工作自由、单量多，提成高。入职新员工有人带、有人教。。外卖行业是凭个人能力吃饭的行业，只要你自己认真努力，工资丰厚！任职资格：1、年龄18~45周岁（年龄未满18周岁或者45周岁生日已过的不能办理入职手续）。2、熟练使用智能手机，会使用手机地图。3、脸上脖子上无大面积纹身，无犯罪史，无。福利待遇：每月工资=单量提成+全勤奖+年终奖+恶劣天气补助+各种补贴。轻松干：月薪4000元以上正常干：月薪6000元以上努力干：月薪8000元以上公司为每一位离开家的伙伴提供温馨的宿舍， 提供外卖箱，工作服，头盔。培训！是免费的。晋升！不是靠关系的。入职后，公司会为每一位骑手买两份保险，工伤险和意外险，对每一位骑手都有双重的安全保障。公司会不定期举行聚餐狂欢，这就是你的第二个家！工作时间：早上9点半-14点，下午17点-21点。（14点到17点期间可以休息，也可接单，可自己选择。两个饭点高峰期必须在职，其余时间自愿跑单或者休息，工作时间自由。）每月休假2天。晋升路径：骑手—组长—副站长—站长—城市负责人。本岗位属公司总站点直招，面试成功之后可全西安就近分配！如有意向，欢迎各位小伙伴打电话预约后前来面试，在这里你可以靠你勤劳的双腿、你的勤奋，来成就你的高薪梦，我们这个大家庭期待您的加入！不诚意者勿扰！打酱油者勿扰！
新疆中联远洋供应链管理有限公司（中联远洋（美团合作商））,今天,394,9,送餐员/外卖骑手,8000-10000元/月,小白可入+时间自由送餐员,月结工资 不需要 美团 熟练驾驶电动 熟悉本地路况 熟练使用导航 包住 加班补助 周末双休,招15人 学历不限 经验不限，可接收应届生,西安 - 莲湖 - 玉祥门 西安莲湖西安市莲湖区玉祥门美团站点 查看地图,职位描述:温馨提示:本公司站点直招(直接去站点面试)可以就近分配!1.招聘职位:送餐员，外卖骑手，(新手有老骑手带)电脑智能派单2.入职岗位条件:有无经验均可，18-50周岁，会骑电动车，会使用手机导航，身体健康，无犯罪记录。3.送餐距离:3公里左右。4.上班时间:(午高峰)10:00--14:00(晚高峰)17:00--21:00每天工作8小时左右5.工资待遇:综合单价，5--15元，月收入上不封顶多劳多得!!每月20号发工资，打到银行卡上，可预支工资6.福利补贴:住房，电动车，话补，全勤，早晚班，准时率，节假日，高温补贴，恶劣天气，距离，大额，工龄，冲单奖，年终奖7.其他福利:1为骑手缴纳意外险2传统节日发放节日礼品
重庆欧速达企业管理有限公司（饿了么配送合作商）,今天,53,4,送餐员/外卖骑手,9000-15000元/月,西安高薪骑手包车住,包住 话补 饭补 加班补助 房补 交通补助 五险一金,招10人 学历不限 经验不限,西安 - 雁塔 西安雁塔雁塔区枫林路尚品格蓝小区菜鸟驿站 查看地图,职位描述【全城站点直招外卖骑手送餐员（新手外卖骑手可以老骑手一带一上岗培训），免费提供配车一一不收任何押金——不收取任何费用 ，零费用入职！！！工作内容：1、送餐员负责接外卖系统派的订单，按照订单信息准确及时地将餐品送到客户手中。2、配送的物品：外卖食品，配送范围三公里以内3、新员工入职，有老员工带。【招聘条件】1、18周岁-45周岁，品行端正，无案底2、有无经验均可，要求会骑电动车，会使用智能手机导航。3、公司不收取任何押金，不以任何形式扣员工工资等行为。【薪资待遇】单价6-10元/单，每天35到60单=月薪 6000-12000左右.（多劳多得，接单越多提成越高，五星好评，另有平台大额单，远距离单补助)公司派单，单量充足…（配送范围3公里之内，新人入职有老员工带。只要愿意干、只要肯吃苦、肯定让你挣到钱）正常干 6000元左右稍微努力 8000元左右使劲干 10000元以上年轻人嘛，连一个尝试的机会都不给自己，何提奋斗一说？【工作地点】全西安就近分配站点【其他福利】（1）传统节日发放节日礼品【任职资格】1、有无经验均可，只要你会骑电动车（我们只看你是否有意愿）2、学历不是你的硬指标（我们只看能力，只认付出）3、有良好的服务意识、综合素质（相信自己！）4、能吃苦耐劳、有强烈的企图心（目标需要靠自己的付出去实现）
西安全满成科技有限公司,今天,575,9,送餐员/外卖骑手,7000-9000元/月,急聘送餐员均薪9k包住,骑电动车 手机导航 使用智能手机 交通补助 加班补助 包住 工龄奖 大额补贴 距离补贴,招50人 学历不限 经验不限，可接收应届生,西安 - 碑林 - 文艺路 西安碑林草场坡甲字50号翡翠明珠 查看地图,工作描述：APP点击完成订单即可。入职要求：1、年龄：18-50周岁，身体健康、无犯罪记录；2，会骑电动车或摩托车，灵活使用智能手机3、吃苦耐劳，有良好的服务意识、服务精神以及较强的团队精神；5、工作时间：10:00-14:00；17：00-21:00工作地点：西安薪资待遇：骑手平均月薪资6000--9000元。上不封顶，公司可提供交通工具，意外保险另有距离补贴，优选骑手奖，特殊贡献奖，恶劣天气补贴及其他平台高额补贴该职位为公司直接招聘，入职前无需缴纳任何费用！晋升渠道：骑手——组长——副站长——站长——区域经理工作区域：未央区，碑林区，雁塔区职位要求：工作时间：
重庆欧速达企业管理有限公司（饿了么配送合作商）,今天,312,4,送餐员/外卖骑手,6000-10000元/月,西安高薪骑手包车住速来,包住 话补 饭补 加班补助 房补 交通补助 五险一金,招10人 学历不限 经验不限,西安 - 碑林 西安碑林草场坡三五三八厂 查看地图,职位描述【全城站点直招外卖骑手送餐员（新手外卖骑手可以老骑手一带一上岗培训），免费提供配车一一不收任何押金——不收取任何费用 ，零费用入职！！！工作内容：1、送餐员负责接外卖系统派的订单，按照订单信息准确及时地将餐品送到客户手中。2、配送的物品：外卖食品，配送范围三公里以内3、新员工入职，有老员工带。【招聘条件】1、18周岁-45周岁，品行端正，无案底2、有无经验均可，要求会骑电动车，会使用智能手机导航。3、公司不收取任何押金，不以任何形式扣员工工资等行为。【薪资待遇】单价6-10元/单，每天35到60单=月薪 6000-12000左右.（多劳多得，接单越多提成越高，五星好评，另有平台大额单，远距离单补助)公司派单，单量充足…（配送范围3公里之内，新人入职有老员工带。只要愿意干、只要肯吃苦、肯定让你挣到钱）正常干 6000元左右稍微努力 8000元左右使劲干 10000元以上年轻人嘛，连一个尝试的机会都不给自己，何提奋斗一说？【工作地点】全西安就近分配站点【其他福利】（1）传统节日发放节日礼品【任职资格】1、有无经验均可，只要你会骑电动车（我们只看你是否有意愿）2、学历不是你的硬指标（我们只看能力，只认付出）3、有良好的服务意识、综合素质（相信自己！）4、能吃苦耐劳、有强烈的企图心（目标需要靠自己的付出去实现）
未找到数据,今天,2091,218,货运司机,薪资面议,招c1司机爱开车,多劳多得,招8人 学历不限 1-2年,西安 - 鄠邑 - 鄠邑城区 西安鄠邑鄠邑城区兴论购物中心 查看地图,主要招长期司机，有驾驶工作经验者优先！任职资格：1.年龄22-52岁，有c1证，有1年以上驾驶经验；2.无不良驾驶记录，无重大事故及交通违章，具有较强的安全意识；3.为人踏实、老实忠厚，保密意识强、责任心强。上岗时间：越快越好
陕西诺尔途物流有限公司,今天,3,0,商务司机,8000-11000元/月,C1司机高薪诚聘,五险一金 包吃 房补 交通补助 饭补 年底双薪 周末双休 加班补助 话补 包住,招2人 学历不限 经验不限,西安 - 经开区 - 张家堡 西安经开区中登文景大厦B座 查看地图,没及时回复消息，您可以投递简历或者预留联系方式，稍后与你联系由于我司工作需要，现面向社会招聘司机若干名，具体要求如下：工作内容：主要是在西安市配送百货日用品等生活物资。司机清点好货物跟仓库对接好具体要求1、年龄18-60岁，身体健康，思想品德好;2、为人诚实，品德优良;工作认真细心，责任心强，吃苦耐劳，3、司机要求，身体健康，有C1及C1以上驾照，具有安全意识，胜任司机岗位工作，乐意听从公司调遣。4、具有汽车驾驶执照，有相关工作经验者优先。5、每月15号按时发放工资，手头紧张可以预支工资，无拖欠职位要求：6、工作时间：早八晚六 月休四天 入职后缴纳社保 五险没及时回复消息，您可以投递简历或者预留联系方式，稍后与你联系没及时回复消息，您可以投递简历或者预留联系方式，稍后与你联系由于我司工作需要，现面向社会招聘司机若干名，具体要求如下：工作内容：主要是在西安市配送百货日用品等生活物资。司机清点好货物跟仓库对接好具体要求1、年龄18-60岁，身体健康，思想品德好;2、为人诚实，品德优良;工作认真细心，责任心强，吃苦耐劳，3、司机要求，身体健康，有C1及C1以上驾照，具有安全意识，胜任司机岗位工作，乐意听从公司调遣。4、具有汽车驾驶执照，有相关工作经验者优先。5、每月15号按时发放工资，手头紧张可以预支工资，无拖欠职位要求：6、工作时间：早八晚六 月休四天 入职后缴纳社保 五险没及时回复消息，您可以投递简历或者预留联系方式，稍后与你联系
未找到数据,今天,598,43,月嫂,8000-15000元/月,曲江月子会所招新手月嫂,求职保障五险一金 包住 包吃 年底双薪 周末双休 交通补助 加班补助 饭补 话补 房补 时间自由 薪资待遇高,招10人 学历不限 经验不限,西安 - 曲江新区 - 龙湖星悦荟 西安曲江新区芙蓉东路环岛中海碧林湾北100米曲江新苑曲江新苑南一门 查看地图,月嫂培训高薪就业零基础速成 名企就业 免费试听 就业 小班授课 面对面 授课 高薪就业培训形式：线下授课，直播授课，录播课程培训地点：西安雁塔电子一路新海岸商务中心7楼课程介绍：培训形式：线下授课，直播授课，录播课程培训地点：西安长安西长安街白华街道课程介绍：岗位职责：1、主要照顾产妇和新生儿的饮食起居及身体护理；2、负责所分配客户的家庭卫生清洁工作；3、给产妇做月子餐，口味清淡软烂即可任职资格：1、身体健康，55岁周岁内；工作时间： 薪资8000元
未找到数据,今天,73,5,餐厅领班,6000-7000元/月,高薪诚聘有能力餐饮店长,包吃 房补,招若干 学历不限 经验不限,西安 - 未央 - 太华北路 陕西省西安市未央区阳光城檀悦高层6号楼-2-201 查看地图,工作要求：招聘餐饮店长，要销售管理能力突出，能快速的适应环境并快速的根据情况作出相应的对策，工作经历要做过餐饮店长，熟悉员工考核、客诉处理、门店运营管理、主持门店相关会议。在工作期间，完成领导交代的任务、超额达成目标、态度认真，稳定性强不随意离职。薪资待遇：工资6000+绩效奖+月休2天
未找到数据,今天,440,25,主播,5000-8000元/月,招西安主播直播可在家播,房补 话补 包住 免费培训 环境好 时间自由,招20人 学历不限 经验不限,西安 - 未央 - 经济技术开发区 西安未央未央路赛高商务港2709室 查看地图,薪资待遇：保底5k～10k，视频拍摄，推流，个性化指导运营工作内容：1、建立自己的直播风格2、与粉丝互动，活跃直播气氛3、不断反馈调整，优化直播内容，提高用户参与度增强粉丝黏性4、面对镜头自然大方，具有较强的现场操控和应变能力；5、稳定上播，按时开播，维护直播间的正常秩序。6、有直播经验者或播音主持专业毕业者优先，音乐器乐专业优先。平台：抖音，快手，微信视频号承诺：打造不一样的你
