Word,Frequency
Optics (physics.optics),5865
Fluid Dynamics (physics.flu-dyn),3993
Applied Physics (physics.app-ph),3440
Quantum Physics (quant-ph),3027
Computational Physics (physics.comp-ph),2994
Chemical Physics (physics.chem-ph),2946
Materials Science (cond-mat.mtrl-sci),2487
Instrumentation and Detectors (physics.ins-det),2416
Plasma Physics (physics.plasm-ph),1901
Physics and Society (physics.soc-ph),1895
