Word,Frequency
High Energy Physics - Experiment (hep-ex),4522
High Energy Physics - Phenomenology (hep-ph),2409
Instrumentation and Detectors (physics.ins-det),790
Nuclear Experiment (nucl-ex),723
Nuclear Theory (nucl-th),464
High Energy Physics - Lattice (hep-lat),270
High Energy Astrophysical Phenomena (astro-ph.HE),171
Cosmology and Nongalactic Astrophysics (astro-ph.CO),170
Instrumentation and Methods for Astrophysics (astro-ph.IM),169
High Energy Physics - Theory (hep-th),127
