Word,Frequency
High Energy Physics - Phenomenology (hep-ph),10737
High Energy Physics - Experiment (hep-ex),2390
High Energy Physics - Theory (hep-th),2111
Nuclear Theory (nucl-th),1805
Cosmology and Nongalactic Astrophysics (astro-ph.CO),1604
General Relativity and Quantum Cosmology (gr-qc),1160
High Energy Astrophysical Phenomena (astro-ph.HE),845
High Energy Physics - Lattice (hep-lat),812
Nuclear Experiment (nucl-ex),600
Quantum Physics (quant-ph),294
