Word,Frequency
High Energy Physics - Theory (hep-th),10272
General Relativity and Quantum Cosmology (gr-qc),3924
High Energy Physics - Phenomenology (hep-ph),2114
Mathematical Physics (math-ph),1320
Quantum Physics (quant-ph),1135
Cosmology and Nongalactic Astrophysics (astro-ph.CO),1017
Strongly Correlated Electrons (cond-mat.str-el),669
Statistical Mechanics (cond-mat.stat-mech),593
High Energy Physics - Lattice (hep-lat),399
Nuclear Theory (nucl-th),284
