Word,Frequency
Machine Learning (stat.ML),8052
Machine Learning (cs.LG),7686
Methodology (stat.ME),5108
Applications (stat.AP),3049
Statistics Theory (math.ST),3034
Artificial Intelligence (cs.AI),1392
Computation (stat.CO),1254
Optimization and Control (math.OC),973
Probability (math.PR),811
Computer Vision and Pattern Recognition (cs.CV),519
