Word,Frequency
General Economics (econ.GN),1108
Econometrics (econ.EM),830
Theoretical Economics (econ.TH),738
Computer Science and Game Theory (cs.GT),260
Methodology (stat.ME),236
Machine Learning (cs.LG),203
Applications (stat.AP),156
Machine Learning (stat.ML),140
Statistics Theory (math.ST),112
Artificial Intelligence (cs.AI),94
