Word,Frequency
High Energy Physics - Lattice (hep-lat),1593
High Energy Physics - Phenomenology (hep-ph),818
High Energy Physics - Theory (hep-th),400
Nuclear Theory (nucl-th),350
High Energy Physics - Experiment (hep-ex),271
Quantum Physics (quant-ph),199
Strongly Correlated Electrons (cond-mat.str-el),139
Statistical Mechanics (cond-mat.stat-mech),107
Nuclear Experiment (nucl-ex),92
Quantum Gases (cond-mat.quant-gas),48
