Word,Frequency
Materials Science (cond-mat.mtrl-sci),9758
Mesoscale and Nanoscale Physics (cond-mat.mes-hall),7490
Strongly Correlated Electrons (cond-mat.str-el),5970
Statistical Mechanics (cond-mat.stat-mech),5231
Quantum Physics (quant-ph),4442
Soft Condensed Matter (cond-mat.soft),3336
Superconductivity (cond-mat.supr-con),2741
Quantum Gases (cond-mat.quant-gas),2070
Disordered Systems and Neural Networks (cond-mat.dis-nn),1798
Applied Physics (physics.app-ph),1416
